vid,itag,chunk
EVLSLGCle6M,247/251,1403440/412134/522462/608481/490891/775739/370495/412454/609482/435331/491942/829755/374490/532298/346654/224056/921517/493834/356099/833842/549537/607533/417400/221560/737920/477455/577498/251278/469468/381262/282424/560524/388458/326976/208220/400974/264103/380725/321001/327173/346149/354543/301483/466942/305788/326407/431950/361059/341506/294029/350309/383924/399624/367901/417630/459035/824927/413321
EXzTeOvB_88,247/251,2374611/1221505/1184461/764761/1656264/1595083/1469866/1441502/1536168/1357432/1432819/1499135/1129217/873012/726257/1640673/932430/971071/1839463/1701227/1838938/1601444/770080/901964/704346/830565/919576/807057/863731/637278/853607/791631/784368/925926/736627/839461/830549/666698/766421/669422/786231/763373/618368/720779/837574/766565/628957/778350/630205/801150/744442/633316/573371/747763/674408/719796/814260/652977
f048_v2OJ4w,398/251,979982/1248844/823328/423585/365145/299864/325344/232470/26527/1704592/1140484/1600767/5055907/4213555/4431955/3098932/3579638/2526989/2086801/1426971/2935661
fd_UlFQ4_vk,247/251,1873291/1483965/793139/641479/515827/1352803/692422/1217225/635814/549278/513517/1144923/738640/453810/275154/1429284/664995/515223/653039/2841834/2983642/1679672/2387834/2604275/4138608/5487466/1165094/2874605/2512803/2558347
fOjR3rk4C18,398/251,3773661/3125794/2549730/1812574/1016041/592263/1069952/678208/1944268/710220/382169/1035224/2212426/1256893/1398688/1374597/872051/684195/364060/653650/972078/1137393/3887057/3377881/2748974/2192365/2195995/2349816/1961382/2934104/3587443/3723085
FutAkivuL_I,247/251,2826042/755554/597539/1137905/696059/934319/2030757/667451/520695/1941053/694226/930090/1867700/118936/1960869/381179/160357/1084242/591847/1639357/328169/202141/285564/550018/622783/527103/564841/510204/609453/375894/492957/512118/645972/359867/364568/164252/363624/285927/510487/564381/338734/544437/426472/204989/723422/147935/248749/509365/512280/659011/449358/667860/542205/655350/560886/547709/675208/585157/756933/598093/663583/410293
FVNKOOSVeqU,247/251,4520663/4141213/4271371/3952103/4478448/4252132/2415798/1750731/1195892/746671/3992610/3607672/4176103/4103289/3893948/3772984/3936001/3506010/3767834/4384183/4112690/3856461
fWIdZVMStxM,398/251,1763905/555621/307592/372291/554820/371764/392280/606315/114000/876304/909158/515073/1640003/613963/787349/549273/279701/779576/741364/1606947/550617/470056/868474/1153800/344544/524885/286311/670149/1182975/837486/664522/228620/718700/496251/1064005/341526/500383/339888/547549/453305/106235/232193/206825/290125/185199/765208/652203/507348/376673/402213/315995/937945/575166/468189/135319/126002/277325/168459
Gbp6PpvTihc,247/251,2211657/853419/886530/575350/1308523/732598/380043/880058/977640/760331/431363/1445404/1294162/1165765/751594/863476/1239843/1120448/656374/564102/893902/1464575/1171678/1654350/826004/571859/890548/902452/576390/719999/628522/707435/834592/539699/816750/665840/811460/565880/518763/473576/619838/819523/585303/797991/788052/662456/853527/580743/787818/693305/521938/735671/548055/876819/872096/792297/895677/711506/491865/1106214
GIcd8DBlw1Q,247/251,5351046/1209229/1222676/1300877/658217/495980/1221053/1217702/1451492/1299592/732197/627406/1624971/684184/1447497/2121323/5192188/4202455/4501500/5110316/5770166/4842463/4683150/4541971/4930683/4306571/3530949
