url,time,flow,chunk
-NtSZQHRc-I,2024_11_29_04_25,192.168.38.62:65048-74.125.171.42:443,593120/762128/1058738/726576/232652/457630/574217/304728/428204/506581/639485/606149/631815/476285/719841/608096/257984/881042/631110/566544/304280/122660/311817/278093/311928/313971/394769/282764/335895/332097/215556/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/255092/275977/447907/65715/463435/196799/180415/115375/360632/120670/293085/189486/394327/145476/430571/345197/239211/64663/435498/554779/1422644/879796/807812/699920/835217/439496/720182/584316/500068/554779/433176/289990/479207/792964/736418/507866/663804/325298/325217/546109/664210/520755/228914/138516
-NtSZQHRc-I,2024_11_29_04_35,192.168.38.62:65194-74.125.171.42:443,989086/593120/762128/1042354/726576/232652/457630/574217/304728/553003/522235/358429/746752/631815/702483/813553/814027/613093/631110/566544/304280/122660/311817/278093/311928/313971/394769/282764/335895/332097/215556/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/398456/132613/447907/296417/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/345198/239211/64663/435498/407635/959256/847290/879796/807812/1033495/732489/720182/483203/101206/500068/554779/723073/415904/365202/1032155/558490/294661/469621/325298/418203
-NtSZQHRc-I,2024_11_29_04_35,192.168.38.62:65321-74.125.101.168:443,1404729/1074914/396756
-NtSZQHRc-I,2024_11_29_04_46,192.168.38.62:65390-74.125.171.42:443,989086/593118/901153/269989/675789/726576/549111/715296/304728/934693/639485/217930/627779/392347/337178/957339/691135/122984/613093/631110/566544/304280/122660/311817/278093/311928/313971/394769/282764/335895/332097/215556/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/398456/132613/303940/440384/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/345197/82099/64662/435497/407634/959255/847290/879796/807812/1017111/732489/720182/483203/101206/500068/554779/723073/415904/365202/1064926/558490/294661/469621/187600/462915/546094/377620/286683/520755/228914/138516/301967/157535/341702/246435/232170/89000/416647/320102/214494/344666/272087/256226/356317/355476
-NtSZQHRc-I,2024_11_29_04_57,192.168.38.62:49199-74.125.171.42:443,1259047/762128/1084711/726576/232652/457630/574217/304728/553003/522235/358429/746752/631815/702483/493643/462613/403467/881042/631110/566544/304280/122660/311817/278093/311928/313971/394769/282764/335895/190385/357268/321285/308186/303499/504006/326592/446331/394333/241705/340510/549951/477980/793872/398456/132613/303940/440384/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/345198/239211/64663/435498/554779
-NtSZQHRc-I,2024_11_29_04_57,192.168.38.62:49308-142.251.84.74:443,1064327/416130/471619/495943/557745/605002/525368/526737/651883/583874/514696/343881/328875
-NtSZQHRc-I,2024_11_29_04_57,192.168.38.62:49326-173.194.4.201:443,1306089/1092642/1132820/1140863
-NtSZQHRc-I,2024_11_29_05_07,192.168.38.62:49391-74.125.171.42:443,989086/593118/901153/269989/231432/620278/550747/232652/457630/574217/304728/428204/506581/639485/606149/631815/476285/719841/608096/257984/510920/677208/890568/426848/311817/278093/311928/313971/394769/282764/335895/332097/215556/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/398456/132613/447907/16384/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/345197/239210/64662/435497/554778/959256/847290/879796/807812/954936/732489/720182/483203/308297/700519/952224/337556/690999/736418/407481/294661/469621/325298/418203/685309/746641/206123/228914/138516/301967/157535/341702/246435/232170/89000/416647/320102
-NtSZQHRc-I,2024_11_29_05_18,192.168.38.62:49564-74.125.171.42:443,946061/593120/762128/1042354/726576/232652/457630/574217/304728/553003/728065/511040/388311/239560/729433/858948/608096/525933/613093/631110/566544/304280/122660/311817/278093/311928/313971/394769/282764/335895/332097/215556/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/398456/132613/447907/296417/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/345197/239210/64662/435498/554779/959256/847290/879796/807812/1033495/732489/720182/483203/308297/700519/870217/141744/337556/792959/736418/407481/294661/657128/462915/546094/664210/520755/367337/301967/157535
-NtSZQHRc-I,2024_11_29_05_29,192.168.38.62:49769-74.125.171.42:443,972702/32945/444449/513818/407481/495559/574217/304728/553003/522235/358429/746752/631815/702483/351387/1008244/881042/631110/566544/304280/122660/311817/278093/311928/313971/394769/282764/335895/332097/215556/321285/308186/303499/504006/326592/446331/394333/241705/340510/407362/620569/793872/398456/132613/303940/440384/406997/512265/367622/528697/279206/555746/686396/293085/189486/394327/145476/430571/483202/101206/207184/292977/554779/1073964/847290/879796/1053659/1135949/539712/775677/739186/843284/708075/998566/1113266/622111/792500/546094/664210/520755/228914/138516
-NtSZQHRc-I,2024_11_29_05_29,192.168.38.62:49880-173.194.4.7:443,
